Sl. No,Company/Client Name,Contact Name,Mobile,Email,Notes,1st Follow Up,2nd Follow Up,3rd Follow Up,Quotation,LPO,Invoice,Remarks
179,XBD Collective – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
180,Bishop Design – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
181,RSP – Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
182,RMJM – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
183,Stickman Tribe – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
184,Wilson Associates – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
185,Wa International,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
186,KPS Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
187,Design Infinity,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
188,Bond Interiors – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
189,Depa Interiors – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
190,ISG – Design & Build,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
191,ALEC Fitout – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
192,Khansaheb Interiors – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
193,Havelock One – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
194,A&T Group Interiors – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
195,Summertown Interiors – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
196,Swiss Bureau Interior Design (SBID),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
197,Studio International Engineering Consultants (SIEC),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
198,Dubai Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
199,National Engineering Bureau (NEB),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
200,Arif & Bintoak,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
201,Adnan Saffarini,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
202,Khatib & Alami,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
203,Dar Al-Handasah (Shair and Partners),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
204,Parsons Overseas (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
205,GHD Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
206,Cundall Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
207,Buro Happold Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
208,P&T Architects and Engineers,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
209,Tahir Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
210,Holley Nethercote Interiors ME,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
211,Planquadrat Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
212,EDGE Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
213,U+A Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
214,RMJM – Dubai Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
215,Perkins&Will – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
216,HBA – Studio Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
217,GAJ – Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
218,Roar – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
219,Kristina Zanic – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
220,KEO – Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
221,SSH – Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
222,Studio Toggle,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
223,ANARCHITECT – Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
224,Anarchitect Studio – Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
225,LOCI Architecture + Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
226,T.ZED Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
227,dxb.lab,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
228,ibda design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
229,DXMID,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
230,Studio M,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
231,VX Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
232,X-Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
233,Dewan Architects + Engineers,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
234,Godolphin Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
235,Kinnersley Kent Design – Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
236,LW – d3 Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
237,Roar – d3 Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
238,VSHD – d3,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
239,Lulie Fisher – d3,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
240,Sneha Divias – d3,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
241,d3 Boutique Design Studio #142 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
242,d3 Boutique Design Studio #143 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
243,d3 Boutique Design Studio #144 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
244,d3 Boutique Design Studio #145 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
245,d3 Boutique Design Studio #146 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
246,d3 Boutique Design Studio #147 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
247,d3 Boutique Design Studio #148 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
248,d3 Boutique Design Studio #149 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
249,d3 Boutique Design Studio #150 (to verify),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
